work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,Entry Level,Full Time,Machine Learning Engineer,99500,USD,99500,US,0,US,Medium
2023,Senior Level,Full Time,Machine Learning Operations Engineer,60000,USD,60000,TH,100,US,Large
2023,Senior Level,Full Time,Analytics Engineer,82920,USD,82920,US,100,US,Medium
2022,Entry Level,Full Time,Data Engineer,65000,USD,65000,US,0,US,Medium
2024,Mid Level,Full Time,Research Scientist,81500,USD,81500,US,100,US,Medium
2023,Senior Level,Full Time,Business Intelligence Engineer,150000,USD,150000,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,188000,USD,188000,US,100,US,Medium
2021,Mid Level,Full Time,Data Analyst,80000,USD,80000,US,100,US,Large
2024,Senior Level,Full Time,Research Scientist,103300,USD,103300,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Scientist,196350,USD,196350,US,100,US,Medium
2022,Mid Level,Full Time,Bi Data Analyst,100000,EUR,105066,FR,50,FR,Medium
2024,Senior Level,Full Time,Data Scientist,124875,USD,124875,US,0,US,Medium
2022,Senior Level,Full Time,Data Engineer,110000,USD,110000,US,0,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,128000,USD,128000,US,100,US,Medium
2023,Senior Level,Full Time,Research Engineer,225000,USD,225000,US,0,US,Medium
2022,Mid Level,Full Time,Data Analyst,165000,USD,165000,US,0,US,Medium
2023,Senior Level,Full Time,Analytics Engineer,190000,USD,190000,US,100,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,190400,USD,190400,US,0,US,Medium
2024,Mid Level,Full Time,Bi Developer,43626,GBP,54532,GB,0,GB,Medium
2022,Mid Level,Full Time,Data Engineer,115000,USD,115000,US,0,US,Medium
2023,Senior Level,Full Time,Data Lead,200000,USD,200000,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,95000,USD,95000,US,0,US,Medium
2023,Senior Level,Full Time,Ml Engineer,291500,USD,291500,US,0,US,Medium
2023,Senior Level,Full Time,Ml Engineer,110000,USD,110000,CA,100,CA,Medium
2024,Entry Level,Full Time,Data Science,128750,USD,128750,US,0,US,Medium
2022,Mid Level,Full Time,Data Analyst,79000,USD,79000,US,0,US,Medium
2023,Mid Level,Full Time,Data Scientist,50000,GBP,61520,GB,100,GB,Medium
2023,Senior Level,Full Time,Data Management Specialist,139500,USD,139500,US,0,US,Medium
2023,Senior Level,Full Time,Analytics Engineer,200000,USD,200000,US,100,US,Medium
2023,Senior Level,Full Time,Data Modeler,155000,USD,155000,US,100,US,Large
2024,Senior Level,Full Time,Data Engineer,102200,USD,102200,US,100,US,Medium
2024,Entry Level,Full Time,Data Analyst,110000,USD,110000,US,0,US,Medium
2024,Senior Level,Full Time,Data Analyst,123990,USD,123990,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,195000,USD,195000,US,100,US,Medium
2022,Senior Level,Full Time,Analytics Engineer,231250,USD,231250,US,100,US,Medium
2023,Senior Level,Full Time,Research Scientist,260000,USD,260000,US,0,US,Medium
2022,Mid Level,Full Time,Machine Learning Engineer,90000,USD,90000,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,108500,USD,108500,US,0,US,Medium
2023,Senior Level,Full Time,Ai Engineer,168000,USD,168000,US,0,US,Medium
2023,Mid Level,Full Time,Data Engineer,104000,USD,104000,US,0,US,Medium
2023,Senior Level,Full Time,Computer Vision Engineer,194000,USD,194000,US,0,US,Medium
2022,Senior Level,Full Time,Data Science Lead,165000,USD,165000,US,50,US,Small
2024,Senior Level,Full Time,Research Scientist,250800,USD,250800,US,0,US,Medium
2024,Senior Level,Full Time,Mlops Engineer,160000,USD,160000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,208450,USD,208450,US,100,US,Medium
2023,Senior Level,Full Time,Analytics Engineer,190000,USD,190000,CA,100,CA,Medium
2024,Senior Level,Full Time,Ml Engineer,220000,USD,220000,US,0,US,Medium
2023,Senior Level,Full Time,Data Science Consultant,125000,USD,125000,US,0,US,Medium
2024,Senior Level,Full Time,Data Analyst,147000,USD,147000,US,100,US,Medium
2024,Mid Level,Full Time,Machine Learning Engineer,130900,USD,130900,US,0,US,Medium
2024,Entry Level,Full Time,Business Intelligence,65000,USD,65000,US,100,US,Medium
2022,Senior Level,Full Time,Machine Learning Manager,150000,USD,150000,US,100,US,Medium
2023,Executive,Full Time,Data Engineer,257400,USD,257400,US,100,US,Medium
2024,Senior Level,Full Time,Data Architect,212000,USD,212000,AU,0,AU,Medium
2024,Senior Level,Full Time,Data Analyst,131414,USD,131414,US,100,US,Medium
2023,Senior Level,Full Time,Data Engineer,291500,USD,291500,US,0,US,Medium
2024,Mid Level,Full Time,Data Analyst,88000,USD,88000,US,100,US,Medium
2024,Senior Level,Full Time,Research Scientist,190000,USD,190000,US,0,US,Medium
2023,Mid Level,Full Time,Data Scientist,253000,USD,253000,US,0,US,Medium
2022,Senior Level,Full Time,Data Scientist,140000,USD,140000,US,100,US,Large
2024,Senior Level,Full Time,Data Analyst,71688,EUR,79653,DE,100,DE,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,148594,USD,148594,US,0,US,Medium
2024,Entry Level,Full Time,Analytics Engineer,66000,USD,66000,US,100,US,Medium
2023,Senior Level,Full Time,Data Architect,180000,USD,180000,US,100,US,Medium
2024,Senior Level,Full Time,Business Intelligence Analyst,74000,GBP,92500,GB,0,GB,Medium
2024,Senior Level,Full Time,Data Lead,200400,USD,200400,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,145640,USD,145640,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,123200,USD,123200,CA,100,CA,Medium
2023,Executive,Full Time,Data Engineer,94000,USD,94000,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,185900,USD,185900,US,100,US,Medium
2023,Mid Level,Full Time,Data Scientist,170000,USD,170000,US,0,US,Medium
2023,Senior Level,Full Time,Data Architect,113000,USD,113000,US,0,US,Medium
2022,Entry Level,Full Time,Data Manager,45600,USD,45600,US,100,US,Medium
2022,Mid Level,Full Time,Analytics Engineer,54000,USD,54000,US,0,US,Medium
2022,Senior Level,Full Time,Data Engineer,154600,USD,154600,US,100,US,Medium
2024,Mid Level,Full Time,Data Scientist,199700,USD,199700,US,0,US,Medium
2024,Senior Level,Full Time,Data Scientist,191027,USD,191027,US,0,US,Medium
2022,Senior Level,Full Time,Data Scientist,123400,USD,123400,US,0,US,Medium
2022,Entry Level,Full Time,Data Scientist,168000,USD,168000,US,100,US,Medium
2024,Mid Level,Full Time,Data Science,180000,USD,180000,US,0,US,Medium
2023,Senior Level,Full Time,Data Architect,199600,USD,199600,US,0,US,Medium
2023,Senior Level,Full Time,Data Quality Analyst,140000,USD,140000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,82000,USD,82000,US,0,US,Medium
2023,Senior Level,Full Time,Ai Engineer,36000,EUR,38868,RO,0,RO,Medium
2022,Senior Level,Full Time,Data Analyst,48000,EUR,50432,ES,0,ES,Medium
2024,Senior Level,Full Time,Data Scientist,202800,USD,202800,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,247500,USD,247500,US,100,US,Medium
2024,Executive,Full Time,Data Engineer,136000,USD,136000,US,100,US,Medium
2024,Senior Level,Full Time,Data Architect,184000,USD,184000,US,0,US,Medium
2023,Senior Level,Full Time,Ml Engineer,183750,USD,183750,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,81666,USD,81666,US,100,US,Medium
2023,Mid Level,Full Time,Research Scientist,85000,USD,85000,US,0,US,Medium
2023,Senior Level,Full Time,Business Intelligence Analyst,95000,USD,95000,US,100,US,Medium
2024,Senior Level,Full Time,Analytics Engineer,153018,USD,153018,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,147000,USD,147000,US,0,US,Medium
2024,Entry Level,Full Time,Data Analyst,33600,EUR,37333,LT,0,LT,Medium
2023,Senior Level,Full Time,Data Analyst,170550,USD,170550,US,100,US,Medium
2024,Entry Level,Full Time,Research Scientist,253000,USD,253000,US,0,US,Medium
2023,Senior Level,Full Time,Ml Engineer,160000,USD,160000,US,0,US,Medium
2024,Mid Level,Full Time,Data Scientist,243800,USD,243800,US,100,US,Medium
2023,Senior Level,Full Time,Data Analyst,144000,USD,144000,US,100,US,Medium
2024,Senior Level,Full Time,Data Pipeline Engineer,170000,USD,170000,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,218500,USD,218500,US,0,US,Medium
2024,Senior Level,Full Time,Ai Engineer,90000,USD,90000,AE,0,AE,Large
2023,Mid Level,Full Time,Data Engineer,105000,GBP,129192,GB,0,GB,Medium
2023,Senior Level,Full Time,Data Engineer,139400,USD,139400,US,0,US,Medium
2023,Senior Level,Full Time,Data Operations Analyst,154000,USD,154000,US,0,US,Medium
2023,Mid Level,Full Time,Data Scientist,102500,USD,102500,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,234000,USD,234000,US,0,US,Medium
2023,Mid Level,Full Time,Analytics Engineer,100000,USD,100000,US,0,US,Medium
2023,Entry Level,Full Time,Data Analyst,71615,USD,71615,US,0,US,Medium
2024,Mid Level,Full Time,Data Engineer,62300,USD,62300,US,0,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,207611,USD,207611,US,0,US,Medium
2024,Mid Level,Full Time,Data Scientist,59570,USD,59570,CA,0,CA,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,206000,USD,206000,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,118300,USD,118300,US,0,US,Medium
2024,Entry Level,Full Time,Applied Scientist,166000,USD,166000,US,100,US,Medium
2024,Senior Level,Full Time,Data Scientist,164000,USD,164000,US,100,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,200000,USD,200000,US,0,US,Medium
2021,Senior Level,Full Time,Data Scientist,130000,CAD,103691,CA,100,CA,Large
2024,Senior Level,Full Time,Research Scientist,85469,USD,85469,US,100,US,Medium
2024,Entry Level,Full Time,Data Analyst,35000,GBP,43750,GB,100,GB,Medium
2023,Mid Level,Full Time,Data Scientist,166000,USD,166000,US,100,US,Medium
2023,Senior Level,Full Time,Data Scientist,156000,USD,156000,CA,100,CA,Medium
2024,Mid Level,Full Time,Analytics Engineer,79200,USD,79200,US,0,US,Medium
2022,Senior Level,Full Time,Machine Learning Software Engineer,375000,USD,375000,US,100,US,Medium
2023,Senior Level,Full Time,Research Scientist,253750,USD,253750,ES,0,ES,Medium
2023,Entry Level,Full Time,Data Engineer,125000,USD,125000,US,0,US,Medium
2023,Mid Level,Full Time,Bi Analyst,160000,USD,160000,US,0,US,Medium
2024,Mid Level,Full Time,Data Engineer,74880,USD,74880,US,0,US,Medium
2024,Mid Level,Full Time,Research Engineer,100000,USD,100000,US,0,US,Medium
2023,Senior Level,Full Time,Ml Engineer,148000,USD,148000,US,0,US,Large
2022,Senior Level,Full Time,Data Science Manager,175100,USD,175100,US,100,US,Medium
2023,Senior Level,Full Time,Data Scientist,104000,USD,104000,US,0,US,Medium
2024,Mid Level,Full Time,Data Engineer,140000,USD,140000,US,0,US,Medium
2024,Senior Level,Full Time,Data Science,267900,USD,267900,US,0,US,Medium
2024,Mid Level,Full Time,Data Engineer,113000,USD,113000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,1300000,INR,15809,IN,100,IN,Small
2022,Senior Level,Full Time,Machine Learning Engineer,255000,USD,255000,MX,100,MX,Medium
2024,Mid Level,Full Time,Data Engineer,75000,USD,75000,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,54000,USD,54000,BR,100,BR,Medium
2024,Mid Level,Full Time,Data Scientist,177300,USD,177300,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,177000,USD,177000,GB,0,GB,Medium
2023,Senior Level,Full Time,Ml Engineer,331640,USD,331640,US,0,US,Medium
2023,Senior Level,Full Time,Machine Learning Infrastructure Engineer,220000,USD,220000,US,100,US,Medium
2023,Senior Level,Full Time,Ml Engineer,289076,USD,289076,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,65488,USD,65488,US,0,US,Medium
2022,Senior Level,Full Time,Data Engineer,164000,USD,164000,US,0,US,Medium
2024,Mid Level,Full Time,Data Scientist,158100,USD,158100,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,178538,USD,178538,US,100,US,Medium
2023,Mid Level,Full Time,Data Operations Analyst,44640,USD,44640,US,100,US,Medium
2023,Mid Level,Full Time,Data Engineer,52000,GBP,63980,GB,100,GB,Medium
2023,Senior Level,Full Time,Data Engineer,266875,USD,266875,US,0,US,Medium
2024,Mid Level,Full Time,Data Science Engineer,135000,USD,135000,US,100,US,Medium
2023,Senior Level,Full Time,Data Analyst,75000,USD,75000,US,100,US,Medium
2023,Mid Level,Full Time,Data Scientist,150000,USD,150000,US,0,US,Medium
2023,Mid Level,Full Time,Data Analyst,80000,USD,80000,US,0,US,Medium
2022,Mid Level,Full Time,Mlops Engineer,134000,USD,134000,US,100,US,Medium
2023,Senior Level,Full Time,Business Intelligence Engineer,118200,USD,118200,US,100,US,Medium
2023,Senior Level,Full Time,Data Scientist,156100,USD,156100,CA,0,CA,Medium
2023,Senior Level,Full Time,Data Analyst,100000,USD,100000,US,0,US,Medium
2023,Senior Level,Full Time,Research Engineer,157250,USD,157250,US,100,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,283780,USD,283780,US,0,US,Medium
